species_name,formula,dHf_0K,dHf_298K,units,atct_id,molar_mass,molar_mass_uncertainty,cas_number,atct_seq,uncertainty_kJmol,species_type,number_of_atoms,cleaned_formula,number_of_elements,CID,Canonical_SMILES,Isomeric_SMILES,InChI,H-H_S,N-N_T,O-O_D,F-F_S,Cl-Cl_S,Br-Br_S,I-I_S,C-H_S,H-O_S,C-O_D,C-C_S,C-C_D,C-O_S,H-N_S,C-O_T,C-C_T,Cl-H_S,C-C_A,F-H_S,C-N_T,Br-H_S,N-O_D,C-N_S,C-Cl_S,O-O_S,H-I_S,N-O_S,C-F_S,H-Si_S,O-S_D,Br-C_S,Cl-O_S,C-N_D,Br-O_S,C-I_S,H-S_S,F-O_S,C-Si_S,O-S_S,F-Si_S,I-O_S,O-Si_S,Cl-F_S,N-N_D,F-N_S,C-N_A,Si-Si_S,N-O_T,Si-Si_D,S-S_D,C-S_S,O-Si_D,I-O_D,N-N_S,Cl-I_S,Br-Si_S,Cl-Si_S,C-S_D,C-O_A,B-O_S,B-Cl_S,Br-I_S,Cl-N_S,B-H_S,C-Si_T,B-F_S,Si-Si_T,B-C_S,B-N_S,I-Si_S,Cl-S_S,C-S_T,B-N_T,O-O_A,I-I_D,C-I_D,N-O_A,Br-Cl_S,S-S_S,N-N_A,H-Pt_S,O-S_A,S-S_A,N-S_S,Structure_source,SINGLE,num_bonds,TRIPLE,DOUBLE,AROMATIC
Formic acid,"HC(O)OH (aq, 2 H2O)",,-425.47,kJ/mol,64-18-6*803,46.0254,0.001,64-18-6,803,,molecule,5,HC(O)OH,7,284.0,C(=O)O,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,4,0,1,0
1-Aziridinylium,"[N(CH2CH2)]+ (g, triplet)",1265.9,1254.2,kJ/mol,91127-35-4*1,42.0594,0.0016,91127-35-4,1,,molecule,7,[N(CH2CH2)],5,23266392.0,C1C[NH2+]1,C1C[NH2+]1,"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2/p+1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,9,9,0,0,0
1-Aziridinide,[N(CH2CH2)]- (g),244.2,231.8,kJ/mol,1358579-49-3*0,42.0604,0.0016,1358579-49-3,0,,molecule,7,[N(CH2CH2)],5,57370662.0,[N],[N],InChI=1S/N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,0,0,0,0,0
"2-(Cyclopenta-2,4-dien-1-ylidene)ethan-1-ide",[CH2CHC(CHCHCHCH)]- (g),132.5,114.5,kJ/mol,405519-46-2*0,91.131,0.0056,405519-46-2,0,,molecule,14,[CH2CHC(CHCHCHCH)],13,137767.0,C=C=[CH],C=C=[CH],"InChI=1S/C3H3/c1-3-2/h1H,2H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,5,0,2,0
Chlorine trifluoride anion,[FCl(F)F]- (g),-480.4,-481.9,kJ/mol,184289-50-7*0,92.44846,0.0009,184289-50-7,0,,molecule,4,[FCl(F)F],4,123266.0,FCl,FCl,InChI=1S/ClF/c1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Fulvene cation,[CH2C(CHCHCHCH)]+ (g),1043.6,1027.9,kJ/mol,34504-75-1*0,78.1113,0.0048,34504-75-1,0,,molecule,12,[CH2C(CHCHCHCH)],11,6326.0,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,2,3,1,0,0
Fulvene anion,[CH2C(CHCHCHCH)]- (g),191.4,176.4,kJ/mol,34504-63-7*0,78.1124,0.0048,34504-63-7,0,,molecule,12,[CH2C(CHCHCHCH)],11,6326.0,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,2,3,1,0,0
Diazenide,[NNH]- (g),175.7,176.8,kJ/mol,71004-29-0*0,29.02197,0.00016,71004-29-0,0,,molecule,3,[NNH],3,5460526.0,N=[N-],N=[N-],InChI=1S/HN2/c1-2/h1H/q-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,2,0,1,0
Formic acid,"HC(O)OH (aq, 2.5 H2O)",,-425.43,kJ/mol,64-18-6*804,46.0254,0.001,64-18-6,804,,molecule,5,HC(O)OH,7,284.0,C(=O)O,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,3,4,0,1,0
"cis-1,3,5-Hexatriene","CH2CHCHCHCHCH2 (g, cis)",190.6,170.6,kJ/mol,2612-46-6*0,80.1277,0.0048,2612-46-6,0,,molecule,14,CH2CHCHCHCHCH2,12,5367415.0,C=CC=CC=C,C=C/C=C\C=C,"InChI=1S/C6H8/c1-3-5-6-4-2/h3-6H,1-2H2/b6-5-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,10,13,0,3,0
