# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683553+0.00000000j 0.00786913+0.05549210j 0.00786913-0.05549210j 0.00316447-0.00000000j
2.0 0.98767880+0.00000000j 0.03025161+0.10512603j 0.03025161-0.10512603j 0.01232120-0.00000000j
3.0 0.97347536+0.00000000j 0.06383548+0.14414371j 0.06383548-0.14414371j 0.02652464-0.00000000j
4.0 0.95560939+0.00000000j 0.10397484+0.16962819j 0.10397484-0.16962819j 0.04439061-0.00000000j
5.000000000000001 0.93567514-0.00000000j 0.14561420+0.18078584j 0.14561421-0.18078584j 0.06432486+0.00000000j
6.0 0.91524294-0.00000000j 0.18416105+0.17877168j 0.18416105-0.17877168j 0.08475706+0.00000000j
7.000000000000001 0.89566542-0.00000000j 0.21611566+0.16617885j 0.21611566-0.16617885j 0.10433458+0.00000000j
8.0 0.87795194-0.00000000j 0.23937229+0.14637592j 0.23937229-0.14637592j 0.12204806+0.00000000j
9.0 0.86271796-0.00000000j 0.25321082+0.12286812j 0.25321082-0.12286812j 0.13728204+0.00000000j
10.000000000000002 0.85019922-0.00000000j 0.25806805+0.09880249j 0.25806805-0.09880249j 0.14980078+0.00000000j
11.0 0.84031117-0.00000000j 0.25520032+0.07666540j 0.25520032-0.07666540j 0.15968883+0.00000000j
12.0 0.83273206-0.00000000j 0.24633405+0.05816148j 0.24633405-0.05816148j 0.16726794+0.00000000j
13.000000000000002 0.82699139-0.00000000j 0.23336581+0.04422905j 0.23336581-0.04422905j 0.17300861+0.00000000j
14.000000000000002 0.82255153-0.00000000j 0.21813777+0.03513838j 0.21813777-0.03513838j 0.17744847+0.00000000j
15.000000000000002 0.81887577-0.00000000j 0.20228747+0.03062695j 0.20228747-0.03062695j 0.18112423+0.00000000j
16.0 0.81548044-0.00000000j 0.18715705+0.03004178j 0.18715705-0.03004178j 0.18451956+0.00000000j
17.0 0.81197134-0.00000000j 0.17374424+0.03247413j 0.17374424-0.03247413j 0.18802866+0.00000000j
18.0 0.80806555-0.00000000j 0.16268192+0.03688341j 0.16268192-0.03688341j 0.19193445+0.00000000j
19.000000000000004 0.80359977+0.00000000j 0.15424024+0.04221164j 0.15424024-0.04221164j 0.19640023+0.00000000j
20.000000000000004 0.79852623+0.00000000j 0.14835173+0.04748957j 0.14835173-0.04748956j 0.20147377+0.00000000j
